alacritty 0.15.1-1
amd-ucode 20250808-1
base 3-2
base-devel 1-2
bash-completion 2.16.0-1
bat 0.25.0-4
blueberry 1.4.8-2
brightnessctl 0.5.1-3
btop 1.4.4-1
btrfs-progs 6.16-1
chezmoi 2.65.0-1
clang 20.1.8-1
cups 2:2.4.12-2
cups-browsed 2.1.1-1
cups-filters 2.0.1-2
cups-pdf 3.0.2-1
docker 1:28.3.3-1
docker-buildx 0.27.0-1
docker-compose 2.39.2-1
efibootmgr 18-3
evince 48.1-1
eza 0.23.1-1
fastfetch 2.51.1-1
fcitx5 5.1.14-1
fcitx5-gtk 5.1.4-1
fcitx5-qt 5.1.10-2
fd 10.3.0-1
ffmpegthumbnailer 2.2.3-3
firefox-bin 142.0.1-1
fish 4.0.2-1
flatpak 1:1.16.1-1
foliate 3.3.0-1
fzf 0.65.2-1
gallery-dl 1.30.5-1
gcc14 14.3.1+r25+g42e99e057bd7-1
ghostty 1.1.3-1
git 2.51.0-1
github-cli 2.78.0-1
gnome-calculator 48.1-2
gnome-keyring 1:48.0-1
gnome-themes-extra 3.28+r6+g45b1d457-2
gum 0.16.2-1
gvfs-mtp 1.57.2-4
gvfs-smb 1.57.2-4
hypridle 0.1.7-1
hyprland 0.50.1-1
hyprland-qtutils 0.1.4-3
hyprlock 0.9.1-1
hyprpicker 0.4.5-4
hyprshot 1.3.0-4
hyprsunset 0.3.2-1
imagemagick 7.1.2.3-1
impala 0.3.0-1
imv 4.5.0-5
inetutils 2.6-1
iwd 3.9-1
jq 1.8.1-1
kdenlive 25.08.0-2
kumono 0.56.0-1
kvantum-qt5 1.1.5-1
lazydocker 0.24.1-2
lazygit 0.54.2-1
less 1:679-1
libqalculate 5.7.0-1
libreoffice-fresh 25.8.1-1
linux 6.16.4.arch1-1
linux-firmware 20250808-1
llvm 20.1.8-1
localsend 1.17.0-2
luarocks 3.12.2-1
mako 1.10.0-1
man-db 2.13.1-1
mariadb-libs 12.0.2-1
mise 2025.8.21-1
mpv 1:0.40.0-5
nautilus 48.3-1
neovim 0.11.4-1
nmap 7.97-1
noto-fonts 1:2025.09.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.048-1
noto-fonts-extra 1:2025.09.01-1
nss-mdns 0.15.1-2
obs-studio 31.1.2-1
obsidian 1.9.12-1
omarchy-chromium 139.0.7258.154-2
otf-aurulent-nerd 3.4.0-1
otf-codenewroman-nerd 3.4.0-1
otf-comicshanns-nerd 3.4.0-1
otf-commit-mono-nerd 3.4.0-1
otf-droid-nerd 3.4.0-1
otf-firamono-nerd 3.4.0-1
otf-geist-mono-nerd 3.4.0-1
otf-hasklig-nerd 3.4.0-1
otf-hermit-nerd 3.4.0-1
otf-monaspace-nerd 3.4.0-1
otf-opendyslexic-nerd 3.4.0-1
otf-overpass-nerd 3.4.0-1
pamixer 1.6-3
pinta 3.0.3-1
pipewire-audio 1:1.4.7-1
pipewire-pulse 1:1.4.7-1
playerctl 2.4.1-4
plocate 1.1.23-1
plymouth 24.004.60-11
polkit-gnome 0.105-11
postgresql-libs 17.5-5
power-profiles-daemon 0.30-1
python-poetry-core 2.1.3-1
python-terminaltexteffects 0.12.0-1
qbittorrent 5.1.2-1
qt5-wayland 5.15.17+kde+r57-1
ripgrep 14.1.1-1
rustup 1.28.2-3
satty 0.19.0-1
